host,address,nic_mac,nic_vendor,protocol,port,service,product,product_version,extrainfo,state,os
,192.168.2.204,60:A4:4C:24:11:D0,Asustek Computer,tcp,135,msrpc,Microsoft Windows RPC,,,open,Windows,
,192.168.2.204,60:A4:4C:24:11:D0,Asustek Computer,tcp,139,tcpwrapped,,,,open,Windows,
,192.168.2.204,60:A4:4C:24:11:D0,Asustek Computer,tcp,445,tcpwrapped,,,,open,Windows,
,192.168.2.204,60:A4:4C:24:11:D0,Asustek Computer,tcp,902,tcpwrapped,,,,open,Windows,
,192.168.2.204,60:A4:4C:24:11:D0,Asustek Computer,tcp,912,tcpwrapped,,,,open,Windows,
,192.168.2.204,60:A4:4C:24:11:D0,Asustek Computer,tcp,1025,tcpwrapped,,,,open,Windows,
,192.168.2.204,60:A4:4C:24:11:D0,Asustek Computer,tcp,1026,tcpwrapped,,,,open,Windows,
,192.168.2.204,60:A4:4C:24:11:D0,Asustek Computer,tcp,1027,tcpwrapped,,,,open,Windows,
,192.168.2.204,60:A4:4C:24:11:D0,Asustek Computer,tcp,1028,tcpwrapped,,,,open,Windows,
,192.168.2.204,60:A4:4C:24:11:D0,Asustek Computer,tcp,3389,ms-wbt-server,Microsoft Terminal Service,,,open,Windows,
,192.168.2.204,60:A4:4C:24:11:D0,Asustek Computer,tcp,5500,tcpwrapped,,,,open,Windows,
,192.168.2.205,08:60:6E:48:5A:C5,Asustek Computer,tcp,135,msrpc,Microsoft Windows RPC,,,open,Windows,
,192.168.2.205,08:60:6E:48:5A:C5,Asustek Computer,tcp,445,tcpwrapped,,,,open,Windows,
,192.168.2.205,08:60:6E:48:5A:C5,Asustek Computer,tcp,902,tcpwrapped,,,,open,Windows,
,192.168.2.205,08:60:6E:48:5A:C5,Asustek Computer,tcp,912,tcpwrapped,,,,open,Windows,
,192.168.2.205,08:60:6E:48:5A:C5,Asustek Computer,tcp,3389,ms-wbt-server,Microsoft Terminal Service,,,open,Windows,
,192.168.2.205,08:60:6E:48:5A:C5,Asustek Computer,tcp,7070,tcpwrapped,,,,open,Windows,
,192.168.2.206,1C:87:2C:CA:4D:03,Asustek Computer,tcp,135,msrpc,Microsoft Windows RPC,,,open,Windows,
,192.168.2.206,1C:87:2C:CA:4D:03,Asustek Computer,tcp,139,tcpwrapped,,,,open,Windows,
,192.168.2.206,1C:87:2C:CA:4D:03,Asustek Computer,tcp,445,tcpwrapped,,,,open,Windows,
,192.168.2.206,1C:87:2C:CA:4D:03,Asustek Computer,tcp,3389,ms-wbt-server,Microsoft Terminal Service,,,open,Windows,
,192.168.2.207,74:D0:2B:9B:2F:D2,Asustek Computer,tcp,80,http,,,,open,Windows,
,192.168.2.207,74:D0:2B:9B:2F:D2,Asustek Computer,tcp,135,msrpc,Microsoft Windows RPC,,,open,Windows,
,192.168.2.207,74:D0:2B:9B:2F:D2,Asustek Computer,tcp,139,tcpwrapped,,,,open,Windows,
,192.168.2.207,74:D0:2B:9B:2F:D2,Asustek Computer,tcp,443,https,,,,open,Windows,
,192.168.2.207,74:D0:2B:9B:2F:D2,Asustek Computer,tcp,445,tcpwrapped,,,,open,Windows,
,192.168.2.207,74:D0:2B:9B:2F:D2,Asustek Computer,tcp,1027,tcpwrapped,,,,open,Windows,
,192.168.2.207,74:D0:2B:9B:2F:D2,Asustek Computer,tcp,2222,tcpwrapped,,,,open,Windows,
,192.168.2.207,74:D0:2B:9B:2F:D2,Asustek Computer,tcp,3389,ms-wbt-server,Microsoft Terminal Service,,,open,Windows,
,192.168.2.207,74:D0:2B:9B:2F:D2,Asustek Computer,tcp,5500,tcpwrapped,,,,open,Windows,
,192.168.2.207,74:D0:2B:9B:2F:D2,Asustek Computer,tcp,5555,tcpwrapped,,,,open,Windows,
,192.168.2.208,88:D7:F6:53:40:5C,Asustek Computer,tcp,135,msrpc,Microsoft Windows RPC,,,open,FreeBSD,
,192.168.2.208,88:D7:F6:53:40:5C,Asustek Computer,tcp,443,http,VMware VirtualCenter Web service,,,open,FreeBSD,
,192.168.2.208,88:D7:F6:53:40:5C,Asustek Computer,tcp,902,tcpwrapped,,,,open,FreeBSD,
,192.168.2.208,88:D7:F6:53:40:5C,Asustek Computer,tcp,912,tcpwrapped,,,,open,FreeBSD,
,192.168.2.208,88:D7:F6:53:40:5C,Asustek Computer,tcp,3389,ms-wbt-server,Microsoft Terminal Service,,,open,FreeBSD,
,192.168.2.209,60:A4:4C:24:11:92,Asustek Computer,tcp,135,msrpc,Microsoft Windows RPC,,,open,Windows,
,192.168.2.209,60:A4:4C:24:11:92,Asustek Computer,tcp,139,tcpwrapped,,,,open,Windows,
,192.168.2.209,60:A4:4C:24:11:92,Asustek Computer,tcp,445,tcpwrapped,,,,open,Windows,
,192.168.2.209,60:A4:4C:24:11:92,Asustek Computer,tcp,3389,ms-wbt-server,Microsoft Terminal Service,,,open,Windows,
,192.168.2.210,14:DD:A9:D6:DD:73,Asustek Computer,tcp,135,msrpc,Microsoft Windows RPC,,,open,Windows,
,192.168.2.210,14:DD:A9:D6:DD:73,Asustek Computer,tcp,139,tcpwrapped,,,,open,Windows,
,192.168.2.210,14:DD:A9:D6:DD:73,Asustek Computer,tcp,445,tcpwrapped,,,,open,Windows,
,192.168.2.210,14:DD:A9:D6:DD:73,Asustek Computer,tcp,3389,ms-wbt-server,Microsoft Terminal Service,,,open,Windows,
,192.168.2.210,14:DD:A9:D6:DD:73,Asustek Computer,tcp,16992,amt-soap-http,,,,closed,Windows,
,192.168.2.210,14:DD:A9:D6:DD:73,Asustek Computer,tcp,49152,tcpwrapped,,,,open,Windows,
,192.168.2.210,14:DD:A9:D6:DD:73,Asustek Computer,tcp,49153,tcpwrapped,,,,open,Windows,
,192.168.2.210,14:DD:A9:D6:DD:73,Asustek Computer,tcp,49154,tcpwrapped,,,,open,Windows,
,192.168.2.212,48:5B:39:D5:FF:A4,Asustek Computer,tcp,135,msrpc,Microsoft Windows RPC,,,open,Windows,
,192.168.2.212,48:5B:39:D5:FF:A4,Asustek Computer,tcp,139,tcpwrapped,,,,open,Windows,
,192.168.2.212,48:5B:39:D5:FF:A4,Asustek Computer,tcp,445,tcpwrapped,,,,open,Windows,
,192.168.2.212,48:5B:39:D5:FF:A4,Asustek Computer,tcp,3389,ms-wbt-server,Microsoft Terminal Service,,,open,Windows,
,192.168.2.212,48:5B:39:D5:FF:A4,Asustek Computer,tcp,5357,tcpwrapped,,,,open,Windows,
,192.168.2.212,48:5B:39:D5:FF:A4,Asustek Computer,tcp,49152,tcpwrapped,,,,open,Windows,
,192.168.2.212,48:5B:39:D5:FF:A4,Asustek Computer,tcp,49153,tcpwrapped,,,,open,Windows,
,192.168.2.212,48:5B:39:D5:FF:A4,Asustek Computer,tcp,49154,tcpwrapped,,,,open,Windows,
,192.168.2.212,48:5B:39:D5:FF:A4,Asustek Computer,tcp,49155,tcpwrapped,,,,open,Windows,
,192.168.2.213,88:D7:F6:53:3D:17,Asustek Computer,tcp,135,msrpc,Microsoft Windows RPC,,,open,embedded,
,192.168.2.213,88:D7:F6:53:3D:17,Asustek Computer,tcp,443,https,,,,open,embedded,
,192.168.2.213,88:D7:F6:53:3D:17,Asustek Computer,tcp,902,tcpwrapped,,,,open,embedded,
,192.168.2.213,88:D7:F6:53:3D:17,Asustek Computer,tcp,912,tcpwrapped,,,,open,embedded,
,192.168.2.214,E0:3F:49:4D:27:98,Asustek Computer,tcp,135,msrpc,Microsoft Windows RPC,,,open,Windows,
,192.168.2.214,E0:3F:49:4D:27:98,Asustek Computer,tcp,139,tcpwrapped,,,,open,Windows,
,192.168.2.214,E0:3F:49:4D:27:98,Asustek Computer,tcp,443,https,,,,open,Windows,
,192.168.2.214,E0:3F:49:4D:27:98,Asustek Computer,tcp,445,tcpwrapped,,,,open,Windows,
,192.168.2.214,E0:3F:49:4D:27:98,Asustek Computer,tcp,902,tcpwrapped,,,,open,Windows,
,192.168.2.214,E0:3F:49:4D:27:98,Asustek Computer,tcp,912,tcpwrapped,,,,open,Windows,
,192.168.2.214,E0:3F:49:4D:27:98,Asustek Computer,tcp,3389,ms-wbt-server,Microsoft Terminal Service,,,open,Windows,
,192.168.2.216,10:BF:48:4E:81:6A,Asustek Computer,tcp,135,msrpc,Microsoft Windows RPC,,,open,Windows,
,192.168.2.216,10:BF:48:4E:81:6A,Asustek Computer,tcp,3389,ms-wbt-server,Microsoft Terminal Service,,,open,Windows,
,192.168.2.219,88:D7:F6:51:C8:05,Asustek Computer,tcp,80,http,,,,open,Windows,
,192.168.2.219,88:D7:F6:51:C8:05,Asustek Computer,tcp,135,msrpc,Microsoft Windows RPC,,,open,Windows,
,192.168.2.219,88:D7:F6:51:C8:05,Asustek Computer,tcp,139,tcpwrapped,,,,open,Windows,
,192.168.2.219,88:D7:F6:51:C8:05,Asustek Computer,tcp,443,https,,,,open,Windows,
,192.168.2.219,88:D7:F6:51:C8:05,Asustek Computer,tcp,445,tcpwrapped,,,,open,Windows,
,192.168.2.219,88:D7:F6:51:C8:05,Asustek Computer,tcp,3389,ms-wbt-server,Microsoft Terminal Service,,,open,Windows,
,192.168.2.219,88:D7:F6:51:C8:05,Asustek Computer,tcp,5500,tcpwrapped,,,,open,Windows,
,192.168.2.220,48:5B:39:D2:E7:39,Asustek Computer,tcp,135,msrpc,Microsoft Windows RPC,,,open,Windows,
,192.168.2.220,48:5B:39:D2:E7:39,Asustek Computer,tcp,139,tcpwrapped,,,,open,Windows,
,192.168.2.220,48:5B:39:D2:E7:39,Asustek Computer,tcp,445,tcpwrapped,,,,open,Windows,
,192.168.2.220,48:5B:39:D2:E7:39,Asustek Computer,tcp,3389,ms-wbt-server,Microsoft Terminal Service,,,open,Windows,
,192.168.2.223,00:0C:29:96:BD:DC,VMware,tcp,22,tcpwrapped,,,,open,Linux,
,192.168.2.223,00:0C:29:96:BD:DC,VMware,tcp,80,http,Apache httpd,2.4.6,(CentOS) PHP/7.0.25,open,Linux,
,192.168.2.223,00:0C:29:96:BD:DC,VMware,tcp,443,https,,,,closed,Linux,
,192.168.2.248,C8:60:00:8D:78:B3,Asustek Computer,tcp,135,msrpc,Microsoft Windows RPC,,,open,Windows,
,192.168.2.248,C8:60:00:8D:78:B3,Asustek Computer,tcp,139,tcpwrapped,,,,open,Windows,
,192.168.2.248,C8:60:00:8D:78:B3,Asustek Computer,tcp,445,tcpwrapped,,,,open,Windows,
,192.168.2.248,C8:60:00:8D:78:B3,Asustek Computer,tcp,3389,ms-wbt-server,Microsoft Terminal Service,,,open,Windows,
,192.168.2.248,C8:60:00:8D:78:B3,Asustek Computer,tcp,49153,tcpwrapped,,,,open,Windows,
,192.168.2.248,C8:60:00:8D:78:B3,Asustek Computer,tcp,49154,tcpwrapped,,,,open,Windows,
,192.168.2.218,,,tcp,80,http,Microsoft IIS httpd,7.5,,open,Windows,
,192.168.2.218,,,tcp,135,msrpc,Microsoft Windows RPC,,,open,Windows,
,192.168.2.218,,,tcp,139,netbios-ssn,Microsoft Windows netbios-ssn,,,open,Windows,
,192.168.2.218,,,tcp,445,microsoft-ds,Windows 7 Professional 7601 Service Pack 1 microsoft-ds,,workgroup: COLATOUR,open,Windows,
,192.168.2.218,,,tcp,5357,http,Microsoft HTTPAPI httpd,2.0,SSDP/UPnP,open,Windows,
,192.168.2.218,,,tcp,16992,http,Intel Active Management Technology http admin,,,open,Windows,
,192.168.2.218,,,tcp,49152,msrpc,Microsoft Windows RPC,,,open,Windows,
,192.168.2.218,,,tcp,49153,msrpc,Microsoft Windows RPC,,,open,Windows,
,192.168.2.218,,,tcp,49154,msrpc,Microsoft Windows RPC,,,open,Windows,
